prey,Base_diUb,Vec_diUb,diUb1,Enr_diUb,sEnr_diUb,p_Bind_diUb
Eri1,77,2.9,0.1,-4.86,-5.48,0.008
Itgav,205.9,2.6,0,-5.74,-6.65,0.008
Sycp1,138.7,7.6,0,-7.26,-6.83,0.008
Slc35f6,38.6,1,0,-4.43,-6.4,0.008
Brd9,126.1,13.6,0,-8.09,-6.94,0.008
Ifih1,100.7,1.3,0,-4.72,-6.49,0.008
Sytl2,104.4,5.1,0,-6.7,-6.69,0.008
Psg21,0.3,2.5,0,-5.65,-6.56,0.008
Tlk2,242.4,15.2,0,-8.25,-6.82,0.008
Gmcl1,252.7,2664.6,0.1,-14.11,-7.16,0.008
Inpp5k,51,91.3,0,-10.84,-7.1,0.008
Smc2,49.9,35.1,0,-9.46,-7.13,0.008
Fabp1,17.4,1.5,0,-4.99,-6.49,0.008
Fbn2,18.3,9.8,0,-7.63,-6.81,0.008
Snx18,73.5,42.8,0,-9.74,-7.09,0.008
Mdh1,135.5,11.3,0,-7.83,-6.9,0.008
Fam102b,143.6,6.7,0,-7.09,-6.68,0.008
Fnbp4,114.5,1.1,0,-4.52,-6.45,0.008
Igf1,213.2,22.6,0,-8.82,-6.92,0.008
Gigyf2,43.4,44.9,0,-9.81,-6.97,0.008
Cyp4a31,14.1,1.6,0,-5.01,-6.52,0.008
Tcf7,111.9,17.5,0,-8.46,-6.95,0.008
D430041D05Rik,46.1,10.9,0,-7.78,-6.79,0.008
Xlr3b,37.8,1.3,0,-4.75,-6.47,0.008
Ncoa2,134,1.9,0,-5.29,-6.51,0.008
Pigr,90.2,8.9,0,-7.48,-6.84,0.008
Syn2,223.4,9.8,0.1,-6.63,-6.03,0.008
Rab3il1,19.5,15.1,0,-8.24,-6.79,0.008
Tmem255a,68.7,1.9,0,-5.27,-6.44,0.008
Dhx32,102,2.9,0.1,-4.9,-5.47,0.008
Atp6ap2,306.6,2.3,0,-5.55,-6.66,0.008
Zcchc18,154,8.3,0,-7.38,-6.82,0.008
Cpne8,40.9,22.3,0,-8.81,-6.89,0.008
Gabrg2,116.8,39.6,0,-9.63,-7.12,0.008
Hnrnpd,107.7,4.3,0,-6.44,-6.69,0.008
Zbtb33,65,26.2,0,-9.04,-6.89,0.008
Myo9a,244.9,12.9,0.3,-5.21,-5.15,0.008
Dcaf7,225.9,10.4,0,-7.71,-6.87,0.008
Mettl7a2,72.5,61.2,0,-10.26,-7.15,0.008
Ghitm,427.9,3.1,0.1,-4.98,-5.57,0.008
Syde2,11.9,38.6,0,-9.59,-7.1,0.007
Gm7120,258.5,2.3,0.1,-4.55,-5.51,0.007
Pds5b,188,2478.6,0.2,-13.59,-7.15,0.007
Zfp101,37.1,18.4,0,-8.53,-7.04,0.007
Tmem39a,40.1,10.7,0,-7.75,-6.77,0.007
Adam39,79.4,35.3,0,-9.46,-6.97,0.007
Bpifa1,130.6,59.8,0,-10.22,-7.05,0.007
Cd53,206.9,45.8,0,-9.84,-6.99,0.007
Tbl1xr1,76.1,3,0,-5.92,-6.72,0.007
Proser2,20.9,10.6,0,-7.73,-6.77,0.007
Akap7,86.2,30.2,0,-9.24,-6.97,0.007
Sec11c,28.9,39.1,0,-9.61,-7,0.007
Parp11,28.3,0.6,0,-3.76,-6.28,0.007
Sptbn1,248.3,4.7,0.1,-4.98,-5.35,0.007
Adipoq,61.5,1.8,0,-5.19,-6.47,0.007
Nox4,261.9,37.5,0,-9.55,-7,0.007
Gm10921,315.5,3.9,0,-6.29,-6.69,0.007
Smu1,183.6,0.6,0,-3.64,-6.4,0.007
Mapkap1,2.5,54.3,0,-10.09,-7.09,0.007
Mtrf1,38.4,655.3,0.1,-12.68,-6.93,0.007
Pmel,23.2,6.3,0,-7,-6.79,0.007
Prkca,101.7,9,0,-7.5,-6.76,0.007
Pdcl2,773.5,6.9,0.3,-4.54,-5.09,0.007
Net1,44.9,9.3,0,-7.54,-6.79,0.007
Mzt2,22.4,20,0,-8.64,-6.94,0.007
Gls,368.7,10.3,0,-7.69,-6.72,0.007
Tubgcp5,54.3,9.3,0,-7.54,-6.87,0.007
Tbx3,5.6,2.1,0,-5.44,-6.44,0.007
4932438H23Rik,21.2,105.8,0,-11.05,-7.14,0.007
Slc7a7,117.4,1,0,-4.35,-6.54,0.007
Slc35e3,31.8,21.5,0,-8.75,-7,0.007
Syt16,28.3,15.2,0,-8.25,-6.92,0.007
Acot11,54.2,14.1,0,-8.15,-6.96,0.007
Gfpt1,207.7,48.5,0.1,-8.92,-6.4,0.007
C330007P06Rik,150.8,28.8,0,-9.17,-6.93,0.007
Lphn3,9.8,56.5,0,-10.14,-7.11,0.007
Ganab,181.5,3.2,0,-6.02,-6.64,0.007
Hoxa9,6.9,61.7,0,-10.27,-7.01,0.007
Ss18l1,22.7,17.3,0,-8.44,-6.81,0.007
Smarca1,29.8,6.6,0,-7.06,-6.68,0.007
Trappc5,47.5,1.4,0,-4.83,-6.45,0.007
Cpxm1,5,24.9,0,-8.96,-6.9,0.007
Foxa1,25.1,3.1,0,-5.97,-6.65,0.007
Lrrc32,0.7,31.4,0,-9.3,-6.95,0.007
Zfp709,5.4,29.8,0,-9.22,-7.04,0.007
Atg3,114.5,4.3,0.1,-4.86,-5.23,0.007
Thbd,161.1,3.9,0,-6.29,-6.76,0.007
Fam168b,112.1,33.2,0,-9.38,-6.99,0.007
Gm10324,1.3,1.7,0,-5.09,-6.56,0.007
Eif3j1,162.6,121.8,0,-11.25,-7.15,0.007
Bet1,268.3,3.5,0,-6.14,-6.54,0.007
Sumf1,111.2,22.9,0,-8.84,-6.87,0.007
Cul3,328.5,9.7,0,-7.61,-6.88,0.007
Gm14295,180.1,0.8,0,-4.08,-6.45,0.007
D6Wsu163e,33.2,105.2,0,-11.04,-7.16,0.007
Gpc5,25.4,6.3,0,-6.98,-6.7,0.007
Sun3,185.7,7.7,0.1,-6.28,-5.85,0.007
Txndc8,9,3.4,0,-6.1,-6.66,0.007
Rbm33,151.1,1.2,0,-4.61,-6.46,0.007
Abi3bp,90.5,70,0,-10.45,-7.16,0.007
Ctps2,152.4,0.4,0,-3.01,-6.32,0.007
Dtd1,51.1,4.8,0,-6.61,-6.65,0.007
1700123O20Rik,366.6,10,0.2,-5.65,-5.34,0.007
Gda,140.8,67.3,0,-10.4,-7.19,0.007
Rfxap,44.7,218,2.4,-6.47,-5.26,0.007
Col5a2,135.4,3,0.1,-4.92,-5.47,0.007
Hes6,3.1,326.1,0,-12.67,-7.24,0.007
Ano3,51.1,16.2,0,-8.34,-6.99,0.007
Fcgr2b,38.5,232.6,0,-12.18,-7.17,0.007
Cyp4a10,202.9,45.2,0,-9.82,-7.06,0.007
Flt4,1.4,44.8,0,-9.81,-7.08,0.007
Psmg1,15.3,5.8,0.1,-5.86,-5.61,0.007
Ubap2l,50.1,11.8,0,-7.89,-6.78,0.007
Nipal2,48.8,3.8,0,-6.26,-6.73,0.007
Srp72,276.4,4.7,0.1,-5,-5.34,0.007
Eif1,232.3,55.6,0,-10.12,-7.07,0.007
Lclat1,44.6,1.5,0,-4.94,-6.4,0.007
Pcgf3,17.8,5,0,-6.67,-6.66,0.007
Siah1a,99.9,1390.1,0.1,-13.76,-7.07,0.007
Clint1,107.4,29.7,0,-9.22,-6.94,0.007
Gm5795,141.6,0.7,0,-3.92,-6.39,0.007
Nedd4l,19,2.6,0,-5.7,-6.48,0.007
Ncf2,17.8,549.6,0,-13.42,-7.31,0.007
Wdr7,63.1,34.9,0,-9.45,-7.1,0.007
Arhgap35,103,4.3,0,-6.46,-6.68,0.007
Teddm3,22.1,1.1,0,-4.49,-6.35,0.007
Slc4a5,18.2,5.8,0,-6.88,-6.67,0.007
Gnai3,395.2,9,0.2,-5.49,-5.34,0.007
Meox2,26.7,14.9,0,-8.23,-6.76,0.007
Sez6l,3.1,2,0,-5.36,-6.4,0.007
Snx30,64.9,4.3,0,-6.44,-6.6,0.007
Hprt,229.9,1.2,0,-4.66,-6.51,0.007
Sec23ip,174.5,0.7,0,-3.9,-6.36,0.007
Ran,222.9,13.2,0.2,-6.04,-5.51,0.007
Hltf,55.2,7.8,0,-7.3,-6.62,0.007
Cyp1b1,60.7,4.3,0,-6.44,-6.61,0.007
G3bp1,32.8,119.5,0.1,-10.22,-6.7,0.007
Sparcl1,254.5,70.1,0,-10.45,-7.15,0.007
Amd1,375.8,10.5,0,-7.72,-6.89,0.007
Ftsj1,21.4,9.3,0,-7.54,-6.83,0.007
Clca2,5.3,3.3,0,-6.05,-6.69,0.007
Acat3,75.8,1.1,0,-4.51,-6.48,0.007
Slc35a5,158.2,1.5,0.1,-3.95,-5.28,0.007
Car12,24,41.5,0,-9.7,-7.02,0.007
Smurf2,71.8,6.7,0.1,-6.08,-5.82,0.007
L2hgdh,72,400,0,-12.97,-7.21,0.007
Gemin4,26.8,0.5,0,-3.55,-6.27,0.007
Tm9sf4,56.7,16.8,0,-8.39,-6.91,0.007
Vcl,457.2,4.6,0.1,-4.96,-5.38,0.007
Ddx60,26.3,2.2,0,-5.47,-6.54,0.007
Zfp36l1,194.6,5.5,0,-6.78,-6.72,0.007
Slc5a9,27.2,71.3,0,-10.48,-7.04,0.007
Scd1,379.2,3.6,0.1,-5.19,-5.67,0.007
Zbed4,64.8,7.7,0,-7.28,-6.91,0.007
2310036O22Rik,3.8,18,0,-8.5,-6.93,0.007
Rps24,40.4,2.3,0,-5.55,-6.5,0.007
4930564C03Rik,119.5,100.4,0,-10.97,-7.23,0.007
Atp1a2,110,46.5,0,-9.86,-7.06,0.007
Lancl2,221.7,6.9,0,-7.12,-6.77,0.007
Arhgap26,102.1,1,0,-4.37,-6.44,0.007
Pcdh20,3.9,5.7,0,-6.85,-6.68,0.007
Tkt,33.1,7.3,0,-7.19,-6.69,0.007
Ttn,63.1,10.1,0.2,-5.66,-5.24,0.007
Dnal1,82.9,10.8,0,-7.77,-6.73,0.007
Tmem127,155.2,0.4,0,-3.23,-6.4,0.007
Snrpg,3.6,7.7,0,-7.28,-6.71,0.007
Ica1l,102.6,137.7,0.1,-10.43,-6.75,0.007
Prkag1,8.6,1.5,0,-4.93,-6.45,0.007
Acta2,58.2,30.2,0,-9.24,-6.95,0.007
Oxnad1,75,18.8,0,-8.56,-6.92,0.007
Imp4,24.8,12.7,0,-7.99,-6.91,0.007
Rpe,92.3,170.5,0,-11.74,-7.17,0.007
Iqcb1,5.6,15.8,0,-8.31,-6.86,0.007
Lrig2,40.3,61.7,0,-10.27,-7.02,0.007
Trappc8,173.5,16913,0.2,-16.37,-7.37,0.007
Atp6v1d,240.1,3.2,0,-6.01,-6.53,0.007
Col25a1,15.4,36.1,0,-9.5,-6.93,0.007
Snx16,46.7,35.8,0,-9.49,-7.03,0.007
Sspn,81.7,34.6,0,-9.44,-6.96,0.007
Lppr5,35.9,49.3,0,-9.95,-6.96,0.007
Gm21693,45.2,209.5,0,-12.03,-7.26,0.007
Upp2,9.5,6.5,0,-7.04,-6.72,0.007
Gnb2l1,109.1,6.9,0,-7.12,-6.76,0.007
Pgm2l1,262.7,5.5,0.1,-5.78,-5.77,0.007
Afap1,47.5,1.6,0,-5,-6.45,0.007
Uchl3,26.9,14.5,0,-8.18,-6.78,0.007
Cdk19,209.8,48.4,0.1,-8.92,-6.48,0.007
Ube2l3,88,631.3,0.1,-12.62,-7.05,0.007
Slc34a1,38.7,28.3,0,-9.15,-6.96,0.007
Ttc9c,48.8,5.4,0.1,-5.17,-5.31,0.007
Eri2,90.9,8.9,0,-7.48,-6.84,0.007
Cep295,70.5,4.6,0,-6.53,-6.7,0.007
Osbpl8,34.3,9.4,0,-7.56,-6.81,0.007
Nap1l1,445,61.6,0.1,-9.27,-6.58,0.007
Il16,12.9,37.3,0,-9.55,-7.01,0.007
Arrdc5,39.6,477.8,0.1,-12.22,-6.98,0.007
Slco1a1,95,9,0.1,-6.5,-5.94,0.007
Ccl28,28.2,3.7,0,-6.22,-6.54,0.007
1700092M07Rik,2.9,4.3,0,-6.44,-6.7,0.007
Rad51c,6.4,211.2,0,-12.04,-7.22,0.007
Impad1,111.9,320.8,0.1,-11.65,-7.01,0.007
42620,235.2,21.3,0,-8.74,-7.05,0.007
Rnf6,60,1.7,0,-5.15,-6.45,0.007
Top3b,3.2,110.7,0,-11.11,-7.23,0.007
Srrm2,10.5,5,0,-6.67,-6.73,0.007
Ppp1r2,219.2,6.3,0,-6.98,-6.77,0.007
Cp,209.4,378.1,7.9,-5.57,-5.12,0.007
Hbp1,129.8,1.3,0,-4.72,-6.46,0.007
Prdx1,166.3,2.8,0.1,-4.84,-5.45,0.007
Map3k2,39.5,6.2,0.1,-5.95,-5.68,0.007
Snph,44.4,95.1,0,-10.89,-7.17,0.007
Tmem194,272.2,7.8,0.2,-5.29,-5.27,0.007
Agmo,59.4,5,0,-6.66,-6.66,0.007
Zfp959,10.1,2358.1,0.3,-12.94,-7.08,0.007
Tns1,43,23.6,0,-8.88,-7.03,0.007
Lars,122.1,8.9,0.2,-5.48,-5.36,0.007
Gpr146,25.3,39.8,0,-9.64,-7.08,0.007
Rap1b,276.6,24.2,0,-8.92,-7.01,0.007
Cenpj,32.1,117.7,0,-11.2,-7.08,0.007
Klhl2,116.9,42.3,0,-9.73,-7.12,0.007
Slc1a2,424.4,106,0,-11.05,-7.17,0.007
Gm11127,15.6,1,0,-4.43,-6.38,0.007
St18,13.6,5.5,0,-6.79,-6.8,0.007
Clk4,315,68.8,0,-10.43,-7.08,0.007
Nkrf,46,0.7,0,-3.88,-6.33,0.007
Lphn2,67.1,102.5,0,-11,-7.28,0.007
Cntn5,9,2.5,0,-5.68,-6.5,0.007
Arf6,138.9,4305.6,0.1,-15.39,-7.34,0.007
Ints4,114.6,277.7,0,-12.44,-7.24,0.007
Vps39,35.8,4.7,0,-6.57,-6.7,0.007
Ubqln3,87,2772.4,20.1,-7.1,-5.59,0.007
Gstz1,211.6,4.1,0.1,-4.78,-5.3,0.007
Riok3,241,4.5,0,-6.51,-6.72,0.007
Ddx5,594.7,365.5,0.2,-10.83,-6.7,0.007
Polr3b,19.8,19.9,0,-8.64,-6.86,0.007
A830080D01Rik,45.1,1.6,0,-5,-6.43,0.007
Sertad4,54.4,18.9,0,-8.57,-6.97,0.007
Tmtc2,11.2,8.3,0,-7.39,-6.75,0.007
Clip4,90.2,8.5,0,-7.42,-6.83,0.007
Shroom2,160,6.6,0,-7.06,-6.81,0.007
Sdc2,244.1,5.8,0,-6.86,-6.65,0.007
Rnps1,17.9,3.9,0,-6.32,-6.57,0.007
Capza1,284.3,10.8,0.2,-5.76,-5.54,0.007
Map3k15,124,387.9,0,-12.92,-7.23,0.007
Lgals12,9.4,1.4,0,-4.89,-6.44,0.007
Tmprss11d,29.1,0.7,0,-3.85,-6.25,0.007
Lrrn3,73.8,16.6,0,-8.38,-6.81,0.007
Rfwd2,179.3,7,0,-7.13,-6.78,0.007
Tmem130,8.9,10.7,0.3,-5.16,-5.17,0.007
Armc1,192.4,2.4,0,-5.62,-6.57,0.007
Slc4a7,53.3,49,0,-9.94,-7.12,0.007
Arl6ip1,333.3,6.2,0,-6.96,-6.8,0.007
Myl6,32,2.2,0,-5.52,-6.5,0.007
Csnk1a1,447.6,17.7,0.2,-6.15,-5.58,0.007
Pwwp2a,37.6,36,0,-9.5,-7.12,0.007
Rpl39l,13.7,55.4,0,-10.11,-7.1,0.007
Kctd12,147.6,7.9,0,-7.31,-6.84,0.007
Ccng2,63.1,8.2,0,-7.37,-6.92,0.007
Lhfpl2,44,9.3,0,-7.55,-6.72,0.007
Abhd13,116.4,222,0,-12.12,-7.12,0.007
Frrs1l,22.3,12,0,-7.91,-6.74,0.007
1700026D08Rik,307.7,23,0.5,-5.53,-5.22,0.007
Edem1,91.9,6.3,0,-6.99,-6.89,0.007
Tpm4,267,1.1,0,-4.57,-6.49,0.007
Spata32,5.4,23.7,0,-8.89,-7.04,0.007
Exoc2,53.7,40.5,0,-9.66,-7.08,0.007
Map2k1,161.4,1.9,0,-5.3,-6.66,0.007
Gm5820,1.7,7.5,0,-7.24,-6.74,0.007
Zfp874a,24.7,72.3,0,-10.5,-7.17,0.007
Kcnj15,209.5,474.8,0.1,-12.21,-7.02,0.007
Ybx1,103.6,23.2,0,-8.86,-6.86,0.007
Bcl11b,51.5,118,0,-11.2,-7.1,0.007
Sp4,50.1,11.7,0,-7.87,-6.74,0.007
Slmo2,142.5,9.6,0.1,-6,-5.59,0.007
Srsf1,455,13.4,0.2,-5.74,-5.44,0.007
Rnf219,4.5,27.5,0,-9.11,-7,0.007
Atl2,117.9,20.5,0,-8.68,-6.88,0.007
Pole4,70.2,4,0.1,-5.34,-5.61,0.007
Pdpk1,160.3,2.3,0,-5.58,-6.62,0.007
Acvr2a,161.2,2.5,0,-5.7,-6.54,0.007
Rnf152,93.9,4.8,0,-6.6,-6.67,0.007
Adam32,126.3,2.4,0,-5.63,-6.64,0.007
Srrm1,90.2,1.7,0,-5.15,-6.51,0.007
Api5,391.2,363.4,0.1,-11.83,-6.95,0.007
Dicer1,49.7,15.7,0,-8.3,-6.93,0.007
Mctp2,11.6,81.4,0,-10.67,-7.15,0.007
Eef2,24.8,4.4,0,-6.49,-6.66,0.007
Tcea1,54.2,62,0,-10.28,-7.04,0.007
Med20,38.2,10.7,0,-7.75,-6.88,0.007
Pdhx,91.8,12.3,0.2,-5.95,-5.51,0.007
Mtcl1,7.6,0.9,0,-4.18,-6.38,0.007
Enc1,142,5.5,0,-6.79,-6.75,0.007
Slc31a1,317.1,6.9,0.1,-5.54,-5.51,0.007
Cyb5r4,117.6,12,0,-7.91,-6.87,0.007
Atrn,139.8,148.2,0,-11.53,-7.19,0.007
Serhl,17.7,3.4,0,-6.09,-6.59,0.007
Samd9l,232.8,0.5,0,-3.32,-6.36,0.007
Ets1,87.3,200.6,0,-11.97,-7.21,0.007
Grhl1,6.3,452.7,0,-13.14,-7.31,0.007
Anxa4,245.4,6.9,0,-7.11,-6.75,0.007
Mfsd9,24.5,21.8,0,-8.77,-6.86,0.007
Zfp26,69,37.8,0,-9.56,-7.04,0.007
Fbln2,9.4,4.7,0,-6.58,-6.56,0.007
Hif1an,54.5,1.6,0,-5.06,-6.45,0.007
Gm20823,365.3,0.9,0,-4.29,-6.5,0.007
Senp5,64.3,176.8,0,-11.79,-7.19,0.007
Hebp2,10.4,20.2,0,-8.66,-6.97,0.007
Fam228a,35.9,66.2,0,-10.37,-7.08,0.007
Selo,84.9,52.4,0,-10.04,-6.92,0.007
Qdpr,48.6,0.9,0,-4.18,-6.3,0.007
Ncoa1,30.6,11.8,0,-7.89,-6.91,0.007
Slco5a1,14.9,4.7,0,-6.57,-6.66,0.007
Shoc2,48.2,1.7,0,-5.1,-6.51,0.007
Zfp276,7.9,151.3,0,-11.56,-7.29,0.007
Armcx1,143.2,2.4,0.1,-4.59,-5.44,0.007
Rbm41,34.9,5.7,0,-6.85,-6.71,0.007
Ttc39d,114,1.2,0,-4.66,-6.44,0.007
Gpalpp1,84.3,1,0,-4.38,-6.42,0.007
Braf,220.7,1,0,-4.35,-6.45,0.007
Pdlim5,190.3,29.9,0,-9.23,-7,0.007
Mynn,76.2,25.4,0,-8.99,-6.96,0.007
4833423E24Rik,150.1,18,0,-8.5,-6.92,0.007
Evc,30.6,3.3,0,-6.05,-6.59,0.007
Nudc,13.2,2.2,0,-5.47,-6.52,0.007
BC055111,46.4,1087.4,0.1,-12.82,-7.11,0.007
Arf1,43,2.8,0,-5.85,-6.63,0.007
Pdss1,48.4,1.5,0,-4.93,-6.4,0.007
Vcpip1,97.5,6.2,0,-6.97,-6.78,0.007
Pml,31.4,18.1,0,-8.5,-6.95,0.007
Unc13b,62.6,6.5,0,-7.03,-6.71,0.007
Kctd9,123.4,2.8,0,-5.84,-6.61,0.007
Plau,63.9,8.8,0,-7.47,-6.84,0.007
Snx13,226.3,3.4,0,-6.11,-6.64,0.007
Rbm12,32,2.8,0,-5.83,-6.57,0.007
Txn1,18.4,5.7,0,-6.85,-6.73,0.007
Nudcd3,195.4,5.9,0.1,-5.9,-5.79,0.007
Coa6,6.9,1.7,0,-5.09,-6.57,0.007
Fanca,2.1,58.5,0,-10.19,-7.04,0.007
Bend4,4.3,2.2,0,-5.46,-6.6,0.007
Mamdc2,96.8,2.3,0,-5.58,-6.52,0.007
Hsd3b3,118.9,1.9,0,-5.26,-6.6,0.007
Plxdc2,197.2,194.5,0,-11.93,-7.2,0.007
Fyb,35.8,8.7,0,-7.45,-6.8,0.007
Mrpl48,195.2,6.8,0,-7.1,-6.76,0.007
Sgk3,50.7,0.8,0,-4.1,-6.43,0.007
Twistnb,31.6,18.1,0,-8.51,-6.85,0.007
Gspt2,43.5,2.5,0,-5.65,-6.58,0.007
Dcbld2,114.8,5.1,0,-6.69,-6.7,0.007
Tulp4,295,0.6,0,-3.78,-6.49,0.007
G2e3,79.6,25.6,0,-9,-7.07,0.007
Larp4b,70.7,1330.9,0.1,-13.11,-6.97,0.007
Cdca7,67.7,516.8,0.1,-12.33,-7.08,0.007
Pde7a,125.5,12.6,0.1,-6.39,-5.7,0.007
Tktl2,58.7,35.3,0,-9.46,-6.99,0.007
Ugt8a,80.5,5.8,0,-6.87,-6.76,0.007
Stard5,48,7.4,0,-7.22,-6.77,0.007
Grtp1,31.5,42.9,0,-9.75,-7.04,0.007
Irak3,23.4,12.6,0,-7.98,-6.8,0.007
Nin,76.7,5.9,0,-6.9,-6.7,0.007
Arl6,212.4,8.5,0.1,-6.41,-5.87,0.007
Rdh10,160.6,40.6,0,-9.67,-7.07,0.007
Tmem100,236.2,5.3,0,-6.75,-6.77,0.007
Ypel2,71.2,4.3,0,-6.46,-6.63,0.007
Fem1b,440.2,2.5,0.1,-4.67,-5.58,0.007
Camsap2,124.4,48.4,0,-9.92,-7.05,0.007
Hyal6,87.5,355.3,0,-12.8,-7.22,0.007
Akr1c14,261.6,823.8,0.1,-13.01,-7.14,0.007
Chl1,322.6,10.3,0,-7.69,-6.78,0.007
Mmp11,26.9,38.8,0.1,-8.6,-6.38,0.007
Gbp2,162.9,16,0,-8.33,-6.94,0.007
Gm3763,116.5,1.1,0,-4.54,-6.43,0.007
Ago3,4.4,6.8,0,-7.1,-6.64,0.007
Smchd1,154.2,13.7,0,-8.11,-6.82,0.007
Kcnj1,50.2,7.6,0,-7.26,-6.8,0.007
Gnb1,320,3,0.1,-4.92,-5.59,0.007
Clca1,47.5,103.2,0,-11.01,-7.09,0.007
Nudt18,8.5,16.7,0,-8.39,-6.88,0.007
Plin2,218.9,4.8,0.1,-5.03,-5.36,0.007
Ddi1,380.1,5.3,0.2,-4.41,-5.07,0.007
H3f3a,202.3,2.6,0,-5.74,-6.58,0.007
Fam120b,77.1,41.4,0,-9.7,-7.04,0.007
Gm14351,808.7,6.9,0.2,-5.12,-5.39,0.007
Bcl2a1a,16.4,24.4,0,-8.93,-6.9,0.007
Gstm7,73.4,4.7,0,-6.58,-6.68,0.007
Rab22a,23,0.8,0,-4.09,-6.34,0.007
Hey2,20.8,36.7,0,-9.52,-7.02,0.007
Hadhb,274.8,4.2,0.1,-5.42,-5.72,0.007
Slc19a2,57.9,13.5,0,-8.09,-6.87,0.007
Tbp,135.6,48.2,0,-9.91,-7.06,0.007
Lrrc16a,28.4,3.6,0,-6.19,-6.64,0.007
Gopc,142,109.5,0.1,-10.1,-6.69,0.007
Ston2,33.2,1.5,0,-4.99,-6.59,0.007
Pcdhgb6,1.8,62,0,-10.28,-7.03,0.007
Fbxo18,86,2.9,0.1,-4.9,-5.47,0.007
2310057M21Rik,20.3,50.8,0.1,-8.99,-6.47,0.007
B4galt5,46.5,10,0,-7.66,-6.89,0.007
Mapkapk3,19.2,6.8,0,-7.1,-6.63,0.007
Cldn25,60.5,282.6,0,-12.47,-7.29,0.007
Ergic2,495.9,10.6,0.2,-5.41,-5.3,0.007
Cpa5,10.1,7.5,0.1,-5.66,-5.47,0.007
Ctdspl2,98.5,17.7,0,-8.47,-6.98,0.007
Usp1,269.1,119,0,-11.22,-7.16,0.007
Dido1,88.4,9.8,0,-7.62,-6.78,0.007
Unc80,189.5,2.1,0,-5.4,-6.5,0.007
Aifm3,9,3.9,0.1,-5.3,-5.43,0.007
Smcp,21.4,89.3,0,-10.8,-7.11,0.007
Ahcyl1,319.2,114.2,0,-11.16,-7.23,0.007
Cep350,196.6,4.3,0.1,-5.45,-5.65,0.007
Ccdc15,67.5,109,0,-11.09,-7.27,0.007
Zfyve27,45.4,3.9,0,-6.3,-6.69,0.007
Nfkb1,52.8,9.5,0.1,-6.57,-5.89,0.007
Ctc1,6.5,8.3,0,-7.38,-6.82,0.007
Trappc9,1.5,2.3,0,-5.55,-6.55,0.007
Il1b,54.4,194.6,0,-11.93,-7.26,0.007
Asrgl1,161.9,515.3,0.1,-12.33,-7.12,0.007
Fam98a,179,13.9,0,-8.13,-6.88,0.007
Tmod3,171,2.4,0,-5.61,-6.64,0.007
Gsta2,59.8,24,0,-8.91,-6.99,0.007
Abcc3,17.8,5,0,-6.67,-6.7,0.007
Tmem173,70.8,75.7,0,-10.56,-7.2,0.007
Cyp4v3,78.2,35.2,0,-9.46,-7.03,0.007
Kcnk5,2.5,112.5,0,-11.14,-7.12,0.007
Epb4.1l5,74.9,12.5,0,-7.97,-6.84,0.007
Ankrd29,52.2,3.8,0,-6.26,-6.61,0.007
Ank3,160.9,9,0,-7.5,-6.88,0.007
Papolb,267.8,487.2,0.1,-12.25,-7.02,0.007
Dnm3,128.6,6.8,0,-7.11,-6.77,0.007
Xpot,96,71.5,0,-10.48,-7.09,0.007
Ept1,85.7,1.8,0,-5.2,-6.53,0.007
Pard3b,70.7,4.9,0,-6.63,-6.72,0.007
Cpeb1,88.2,2.2,0,-5.47,-6.57,0.007
Zzef1,8.5,347.4,0,-12.76,-7.33,0.007
Msantd4,91.4,28.5,0,-9.16,-6.98,0.007
Ifnar2,48.4,929.2,10,-6.53,-5.35,0.007
Chmp1b,55.4,9.4,0,-7.56,-6.78,0.007
Gsta1,13.6,16.5,0,-8.37,-6.89,0.007
Tctex1d2,53.6,13,0,-8.03,-6.86,0.007
Sertad2,126.3,77.1,0,-10.59,-7.05,0.007
Dgcr2,69.2,4.1,0,-6.38,-6.66,0.007
Slc25a16,90.4,34.6,0,-9.44,-7,0.007
Bace1,103.3,737.8,0.1,-12.26,-6.9,0.007
Tgoln1,440.6,22,0.2,-6.46,-5.58,0.007
Prkar1a,433.2,7.2,0.1,-5.59,-5.46,0.007
Sugct,88.2,10.3,0,-7.69,-6.76,0.007
Slc5a1,30.5,2.6,0,-5.75,-6.53,0.007
Eif4g3,123.6,29.4,0,-9.2,-7.01,0.007
Klhl24,146.5,3.7,0,-6.21,-6.64,0.007
Cenpk,88.4,1.1,0,-4.56,-6.46,0.007
Cadm1,113.3,8.6,0,-7.44,-6.88,0.007
Pkd2,126.4,12.8,0,-8.01,-6.92,0.007
Prr16,5.2,5,0,-6.67,-6.77,0.007
Aldh6a1,701.2,8.8,0,-7.46,-6.87,0.007
Sox30,14.6,87.1,0,-10.77,-7.09,0.007
Mreg,29.2,2.7,0,-5.8,-6.48,0.007
Veph1,23.8,2.2,0,-5.51,-6.58,0.007
Dpysl2,249.5,141.7,0,-11.47,-7.2,0.007
Rpl28,10.2,5.3,0,-6.75,-6.64,0.007
Mtfr1,270.6,3.7,0,-6.25,-6.71,0.007
Gm9,67.7,10.1,0.1,-6.67,-5.9,0.007
Rab2a,344.4,728.9,0.1,-12.83,-7.02,0.007
Robo2,68.5,3.4,0,-6.1,-6.62,0.007
Casc4,64.2,36.8,0,-9.52,-7.01,0.007
Lcn8,10.3,2.3,0,-5.57,-6.51,0.007
Idi1,86.3,24.4,0,-8.93,-7,0.007
