prey,Base,Vec,Rab5GDP,Rab5GTP,Enr_GDP,Enr_GTP,sEnr_GDP,sEnr_GTP,p_GDP_Vec,p_GTP_Vec,p_GTP_GDP,p_GDP_GTP,p_GDP,p_GTP
Asf1b,39.2,49.2,0,0,-9.94,-9.94,-2.21,-3.91,0.022,0,0.148,0.852,0.019,0
Ap3d1,181.4,3.3,0.2,0.2,-3.7,-3.62,-2.11,-3.6,0.02,0,0.16,0.84,0.017,0
Noxred1,182.2,0.1,0,0,-1.8,-1.8,-2.08,-3.74,0.024,0,0.149,0.851,0.02,0
Ppp1r21,22.6,0.1,0.1,0,-0.62,-1.88,-1.92,-3.74,0.019,0,0.108,0.892,0.017,0
Eif2b3,211,0.3,0.2,0.2,-0.5,-0.87,-1.98,-3.5,0.021,0,0.143,0.857,0.018,0
Dcpp2,9.1,0,0.1,0,1.26,0,-1.67,-3.71,0.058,0,0.099,0.901,0.052,0
Zc4h2,30.4,12.6,0.2,0.1,-5.61,-6.66,-2.12,-3.8,0.024,0,0.141,0.859,0.02,0
Tinag,221.8,4.8,0.1,0.3,-4.68,-3.79,-2.12,-3.62,0.024,0,0.172,0.828,0.02,0
Grm1,26.4,768.9,0.1,0,-11.98,-13.91,-2.25,-3.85,0.021,0,0.169,0.831,0.017,0
Tcp10a,104.9,0.1,0.2,0,1.28,-1.1,-1.66,-3.76,0.057,0,0.087,0.913,0.052,0
Zdhhc14,5.4,0,0.1,0,1.26,0,-1.6,-3.69,0.071,0,0.097,0.903,0.064,0
Krcc1,232.6,211.1,0.3,0.2,-9.32,-10.04,-2.21,-3.86,0.019,0,0.15,0.85,0.016,0
Atg2b,57.2,14,0.2,0.1,-5.75,-6.81,-2.11,-3.79,0.019,0,0.141,0.859,0.017,0
Rbm15,15.7,0,0.1,0,1.26,0,-1.72,-3.7,0.051,0,0.096,0.904,0.046,0
Fam49a,47.4,15.1,0,0,-8.25,-8.25,-2.23,-3.82,0.02,0,0.157,0.843,0.017,0
Hook1,319.7,8.2,3.6,0.2,-1.19,-4.9,-1.82,-3.75,0.03,0,0.091,0.909,0.027,0
1700034O15Rik,28.5,0,0.1,0,1.26,0,-1.72,-3.73,0.043,0,0.095,0.905,0.039,0
Atg14,64.3,2.6,0.1,0,-4.48,-5.74,-2.11,-3.81,0.019,0,0.132,0.868,0.016,0
Spag5,44.4,0,0.1,0,1.26,0,-1.69,-3.72,0.056,0,0.094,0.906,0.05,0
Mtpap,144,19.7,0.1,0.2,-6.7,-6.62,-2.17,-3.79,0.024,0,0.153,0.847,0.02,0
Ap1m1,6,796.2,54.4,0,-3.87,-13.96,-2,-3.88,0.026,0,0.11,0.89,0.023,0
Cenpj,41.3,117.7,0,0,-11.2,-11.2,-2.21,-3.86,0.022,0,0.158,0.842,0.019,0
Tbcel,14.9,0.2,0.1,0,-0.55,-2.48,-1.83,-3.78,0.034,0,0.101,0.899,0.03,0
Prelp,198.2,9.4,0.1,0.2,-5.64,-5.1,-2.13,-3.67,0.02,0,0.161,0.839,0.017,0
Pex11b,172,0.4,0.1,0,-1.37,-3.29,-1.93,-3.83,0.024,0,0.105,0.895,0.022,0
4933402E13Rik,46.5,0.2,0.1,0,-0.89,-2.15,-1.95,-3.75,0.027,0,0.108,0.892,0.024,0
Ctdsp1,57.6,0.1,0.1,0,0.03,-1.23,-1.84,-3.77,0.034,0,0.104,0.896,0.031,0
Smim20,29.1,0.1,0.1,0,0.16,-1.1,-1.83,-3.72,0.035,0,0.108,0.892,0.031,0
Lmo7,84.5,91.5,0.1,0.2,-9.58,-8.84,-2.23,-3.85,0.013,0,0.159,0.841,0.011,0
Skil,90.6,25.1,0.3,0,-6.25,-8.97,-2.17,-3.87,0.02,0,0.135,0.865,0.017,0
Mn1,20.5,0.1,0.1,0,0.03,-1.23,-1.82,-3.73,0.039,0,0.11,0.89,0.035,0
Cenpn,185,9,0.2,0.2,-5.12,-5.49,-2.15,-3.75,0.018,0,0.152,0.848,0.016,0
Senp5,64.3,176.8,0,0,-11.79,-11.79,-2.22,-3.88,0.024,0,0.149,0.851,0.02,0
Lrguk,26.9,0,0.1,0,1.26,0,-1.75,-3.72,0.041,0,0.097,0.903,0.037,0
Pura,1.8,0,0.1,0,1.26,0,-1.65,-3.72,0.058,0,0.093,0.907,0.053,0
Cfb,144.9,10,0.3,0,-4.65,-7.64,-2.11,-3.9,0.018,0,0.136,0.864,0.016,0
Rgs17,58.2,1.8,0.1,0,-3.26,-5.19,-2.03,-3.85,0.025,0,0.126,0.874,0.022,0
Cdk18,5.2,4.1,0,0,-6.36,-6.36,-2.21,-3.83,0.021,0,0.154,0.846,0.018,0
Bgn,62.4,0,0.1,0,1.26,0,-1.78,-3.71,0.036,0,0.099,0.901,0.032,0
Auh,86.7,25.5,0,0,-8.99,-8.99,-2.2,-3.88,0.021,0,0.143,0.857,0.018,0
Gid4,82,0.1,0.1,0,0.03,-1.23,-1.86,-3.78,0.033,0,0.107,0.893,0.029,0
Dctn6,123.2,0.7,0.2,0.1,-1.6,-2.66,-1.97,-3.66,0.022,0,0.13,0.87,0.019,0
L3mbtl3,7.3,0.1,0,0,-1.1,-1.1,-2.09,-3.71,0.024,0,0.149,0.851,0.02,0
Scn2b,29.5,0,0.1,0,1.26,0,-1.73,-3.71,0.053,0,0.097,0.903,0.048,0
Mtmr3,139.4,4.5,0,0.1,-6.5,-5.17,-2.25,-3.73,0.017,0,0.177,0.823,0.014,0
Herc6,67,1.3,0.1,0,-2.8,-4.72,-2.04,-3.84,0.019,0,0.123,0.877,0.017,0
Bcl2l2,95.6,0.2,0.1,0,-0.29,-2.21,-1.85,-3.76,0.036,0,0.1,0.9,0.032,0
Arpp19,449.9,148.6,38.5,0.5,-1.95,-8.21,-1.86,-3.85,0.03,0,0.094,0.906,0.027,0
Dgkb,46.9,7.2,0.1,0,-5.92,-7.18,-2.16,-3.85,0.02,0,0.135,0.865,0.018,0
Ddx31,11,6.2,0,0,-6.96,-6.96,-2.21,-3.87,0.018,0,0.152,0.848,0.015,0
Egfr,33.3,0,0.1,0,1.26,0,-1.71,-3.7,0.051,0,0.094,0.906,0.046,0
Prosc,203.5,105.1,0.3,0,-8.04,-11.04,-2.2,-3.89,0.021,0,0.144,0.856,0.018,0
Cd99l2,111.2,0.2,0.1,0,-1.32,-2.58,-1.95,-3.79,0.029,0,0.114,0.886,0.026,0
Wdr60,15.1,0,0.2,0,2.38,0,-1.49,-3.71,0.09,0,0.077,0.923,0.083,0
Selo,90.6,52.4,0.2,0.1,-7.66,-8.71,-2.22,-3.88,0.019,0,0.152,0.848,0.016,0
Cenpo,41.7,201,0,0,-11.97,-11.97,-2.23,-3.88,0.022,0,0.149,0.851,0.019,0
Akap13,63.9,0.1,0.1,0,-0.54,-1.8,-1.93,-3.75,0.027,0,0.115,0.885,0.024,0
Dmxl1,65.9,65.1,0.1,0,-8.42,-10.35,-2.19,-3.87,0.018,0,0.146,0.854,0.016,0
Naip1,78.5,0,0.2,0,2.38,0,-1.56,-3.77,0.08,0,0.078,0.922,0.074,0
Cybb,83.6,35.8,0,0,-9.49,-9.49,-2.18,-3.92,0.019,0,0.14,0.86,0.016,0
Pik3cg,27.2,0,0.1,0,1.92,0,-1.58,-3.78,0.073,0,0.083,0.917,0.067,0
Tmem138,72.9,4.5,0.2,0,-4.12,-6.49,-2.08,-3.8,0.019,0,0.126,0.874,0.017,0
Grik2,16.6,0.2,0.1,0,-0.89,-2.15,-1.92,-3.77,0.03,0,0.112,0.888,0.027,0
Gbe1,122.7,11.4,0,0,-7.84,-7.84,-2.19,-3.86,0.022,0,0.144,0.856,0.019,0
Fads1,245.1,14.7,0.2,0.2,-5.83,-6.2,-2.18,-3.74,0.019,0,0.163,0.837,0.016,0
Hmgxb4,49,0.1,0.1,0,-0.54,-1.8,-1.9,-3.73,0.032,0,0.109,0.891,0.028,0
2610301B20Rik,161.3,12.1,0.5,0.4,-4.49,-4.84,-2.12,-3.67,0.019,0,0.154,0.846,0.016,0
Akap8,85.8,0.2,0.2,0,-0.15,-2.53,-1.84,-3.83,0.035,0,0.095,0.905,0.031,0
Srxn1,74.6,13.5,0.1,0.5,-6.16,-4.76,-2.19,-3.64,0.018,0,0.175,0.825,0.015,0
Plek,31.8,6.1,0,0,-6.93,-6.93,-2.22,-3.87,0.018,0,0.154,0.846,0.015,0
Btaf1,136.1,14.4,0.2,0,-5.79,-8.17,-2.17,-3.88,0.02,0,0.147,0.853,0.017,0
Rad21,544.8,66.6,0.7,1.6,-6.48,-5.35,-2.22,-3.66,0.019,0,0.176,0.824,0.016,0
Sycp3,142.6,2.5,0.2,0,-3.27,-5.65,-2.02,-3.84,0.028,0,0.125,0.875,0.024,0
Alox12e,0.3,0,0.1,0,1.26,0,-1.59,-3.7,0.072,0,0.087,0.913,0.066,0
Lpcat2,9.8,0,0.1,0,1.26,0,-1.7,-3.73,0.055,0,0.095,0.905,0.05,0
H3f3a,207.6,2.6,0.7,0.2,-1.84,-3.28,-1.97,-3.65,0.023,0,0.129,0.871,0.02,0
Brox,206.1,0.9,0.2,0,-1.84,-4.21,-1.94,-3.86,0.024,0,0.109,0.891,0.021,0
Chrna2,9,0,0.1,0,1.26,0,-1.65,-3.68,0.061,0,0.093,0.907,0.056,0
Ppfibp2,40.8,1.9,0.1,0,-4.06,-5.32,-2.15,-3.81,0.024,0,0.152,0.848,0.02,0
Rap1gap2,25.6,0.1,0.1,0,0.03,-1.23,-1.89,-3.76,0.032,0,0.117,0.883,0.028,0
Kpnb1,384.1,34,0.8,0.5,-5.26,-6.09,-2.12,-3.73,0.023,0,0.149,0.851,0.019,0
Rpf1,24.6,0,0.1,0,1.26,0,-1.69,-3.73,0.055,0,0.097,0.903,0.05,0
Ap4e1,2.4,2.2,0,0,-5.46,-5.46,-2.16,-3.81,0.021,0,0.151,0.849,0.018,0
Traf3ip3,9.6,0,0.1,0,1.26,0,-1.67,-3.68,0.052,0,0.102,0.898,0.047,0
Snap91,182.8,62,0.5,0.9,-6.85,-6.03,-2.18,-3.76,0.018,0,0.154,0.846,0.016,0
Taz,125.7,0,0.1,0,1.92,0,-1.68,-3.73,0.058,0,0.098,0.902,0.053,0
Slc8a1,210.7,240.8,1.5,0.6,-7.31,-8.53,-2.2,-3.81,0.022,0,0.157,0.843,0.018,0
Ddx28,11.9,0,0.1,0,1.26,0,-1.68,-3.75,0.05,0,0.094,0.906,0.045,0
1810024B03Rik,5.7,0,0.1,0,1.26,0,-1.66,-3.72,0.059,0,0.093,0.907,0.053,0
St8sia6,6,0,0.1,0,1.92,0,-1.56,-3.71,0.069,0,0.084,0.916,0.063,0
Itgav,206.7,2.6,0.7,0.2,-1.84,-3.74,-1.91,-3.67,0.027,0,0.112,0.888,0.024,0
Mpdu1,6.1,0,0.1,0,1.26,0,-1.67,-3.72,0.054,0,0.089,0.911,0.049,0
Ctsc,129.8,1,0.1,0.1,-3.1,-3.04,-2.07,-3.63,0.02,0,0.15,0.85,0.017,0
Ccnd2,72.1,0.1,0.1,0,0.69,-1.23,-1.74,-3.72,0.044,0,0.092,0.908,0.04,0
Rnf130,197.8,25.9,0,0.1,-9.02,-7.7,-2.23,-3.83,0.02,0,0.165,0.835,0.016,0
Wdr41,86.7,0.1,0,0,-1.23,-1.23,-2.1,-3.72,0.025,0,0.15,0.85,0.021,0
Nipa2,153,279.4,0.2,0.2,-10.07,-9.99,-2.2,-3.88,0.023,0,0.158,0.842,0.019,0
Katna1,205.8,0.1,0.2,0,1.15,-1.23,-1.73,-3.79,0.045,0,0.084,0.916,0.041,0
Fam50a,10.6,0,0.1,0,1.26,0,-1.7,-3.71,0.053,0,0.098,0.902,0.048,0
Rpap2,62.9,0.1,0.3,0,1.62,-1.1,-1.58,-3.79,0.064,0,0.074,0.926,0.06,0
Gm10639,16.8,120.7,0,0,-11.24,-11.24,-2.19,-3.87,0.022,0,0.149,0.851,0.018,0
Paxip1,47.3,0.1,0.1,0,-0.45,-1.72,-1.9,-3.76,0.033,0,0.113,0.887,0.029,0
Ccdc22,2.1,0,0.1,0,1.26,0,-1.65,-3.7,0.064,0,0.095,0.905,0.058,0
Ikbke,6.1,27.4,0,0,-9.1,-9.1,-2.24,-3.86,0.02,0,0.164,0.836,0.016,0
Gm561,8.8,0,0.1,0,1.92,0,-1.56,-3.73,0.07,0,0.084,0.916,0.065,0
Ing3,15.3,45.1,0,0,-9.82,-9.82,-2.2,-3.88,0.022,0,0.154,0.846,0.019,0
Sptssb,52.7,163.1,19.6,0.1,-3.05,-10.35,-1.99,-3.87,0.025,0,0.111,0.889,0.022,0
Plp1,157.4,44.2,0.2,0.1,-7.41,-8.47,-2.19,-3.85,0.021,0,0.145,0.855,0.018,0
Wdr35,130.1,0,0.1,0,1.26,0,-1.78,-3.76,0.044,0,0.1,0.9,0.04,0
Cand1,250,0.8,0.5,0.2,-0.7,-1.66,-1.92,-3.54,0.025,0,0.13,0.87,0.022,0
Foxp3,3.8,0,0.1,0,1.26,0,-1.61,-3.7,0.058,0,0.091,0.909,0.053,0
Pgk2,404.8,9,0.5,0.5,-4.07,-3.97,-2.13,-3.62,0.022,0,0.165,0.835,0.019,0
Epha5,19.4,0.3,0.1,0,-1.41,-2.67,-1.99,-3.75,0.022,0,0.123,0.877,0.019,0
Edem1,83,6.3,0.3,0,-4.26,-6.99,-2.09,-3.88,0.016,0,0.128,0.872,0.014,0
Dusp21,24.4,40.9,0,0.1,-9.68,-8.35,-2.17,-3.85,0.018,0,0.146,0.854,0.015,0
Eps15,196,1.1,0.1,0,-2.58,-4.51,-2.02,-3.8,0.02,0,0.121,0.879,0.018,0
Tube1,29,0.1,0,0,-1.88,-1.88,-2.13,-3.74,0.023,0,0.155,0.845,0.019,0
Tbp,137,48.2,0.1,0.1,-7.99,-8.59,-2.16,-3.87,0.023,0,0.151,0.849,0.019,0
Itgae,8.4,0,0.1,0,1.26,0,-1.67,-3.73,0.065,0,0.1,0.9,0.059,0
Polr2c,25.1,1.8,0,0,-5.24,-5.24,-2.16,-3.83,0.017,0,0.153,0.847,0.015,0
Lrp6,95.8,161,0,0,-11.65,-11.65,-2.21,-3.88,0.023,0,0.149,0.851,0.02,0
Medag,30.6,0,0.1,0,1.92,0,-1.6,-3.74,0.064,0,0.08,0.92,0.059,0
Synpo2,313.8,294.6,1.1,0.8,-7.98,-8.39,-2.2,-3.81,0.021,0,0.161,0.839,0.017,0
Rars,151.6,0.4,0.1,0,-1.16,-3.08,-1.9,-3.78,0.027,0,0.102,0.898,0.024,0
Ampd3,60.5,18.6,0,0.2,-8.55,-6.54,-2.23,-3.8,0.017,0,0.155,0.845,0.015,0
Stim1,29.7,0,0.1,0,1.26,0,-1.74,-3.71,0.055,0,0.103,0.897,0.05,0
Hexb,225.3,133.1,0.1,0.4,-10.12,-8.29,-2.2,-3.81,0.023,0,0.161,0.839,0.019,0
Nckap5,70.6,0.1,0.1,0,0.03,-1.23,-1.87,-3.73,0.034,0,0.11,0.89,0.03,0
Vcpip1,92.5,6.2,0.1,0,-5.71,-6.97,-2.13,-3.85,0.018,0,0.132,0.868,0.016,0
Anapc5,58.6,0.8,0.1,0,-2.82,-4.08,-2.05,-3.79,0.021,0,0.132,0.868,0.018,0
Usp16,168,17.6,0.2,0.2,-6.08,-6,-2.16,-3.73,0.017,0,0.158,0.842,0.014,0
Tmx2,195.5,2.8,0.3,0.2,-3.09,-3.81,-2.05,-3.64,0.025,0,0.15,0.85,0.021,0
Foxp1,135.3,4.5,0.1,0.2,-4.59,-4.06,-2.16,-3.64,0.018,0,0.168,0.832,0.015,0
Exoc6b,28,0.1,0.1,0,0.82,-1.1,-1.7,-3.77,0.044,0,0.093,0.907,0.04,0
AK129341,59.6,0.9,0,0,-4.29,-4.29,-2.2,-3.82,0.022,0,0.154,0.846,0.018,0
Gin1,63.2,1.9,0.1,0,-4.01,-5.27,-2.08,-3.83,0.022,0,0.134,0.866,0.019,0
Map7d2,82.9,0,0.1,0,1.26,0,-1.77,-3.73,0.043,0,0.106,0.894,0.039,0
Gkn3,6.1,0,0.1,0,1.26,0,-1.67,-3.71,0.06,0,0.09,0.91,0.055,0
Rad1,13.4,1.3,0,0,-4.77,-4.77,-2.2,-3.82,0.018,0,0.146,0.854,0.016,0
App,304.6,81.1,0.8,0,-6.63,-10.66,-2.14,-3.86,0.017,0,0.131,0.869,0.015,0
Col6a3,340.8,43.5,1.2,0.8,-5.14,-5.76,-2.12,-3.73,0.019,0,0.145,0.855,0.016,0
Dnajb6,345.3,77.3,0.6,0.5,-6.99,-7.27,-2.15,-3.8,0.019,0,0.149,0.851,0.016,0
Ybx3,37.2,10.3,0.1,0.1,-5.76,-6.36,-2.15,-3.78,0.021,0,0.147,0.853,0.018,0
Krt19,13.9,0.1,0,0,-1.1,-1.1,-2.09,-3.67,0.018,0,0.142,0.858,0.015,0
Hadh,48.9,9.5,0.1,0,-6.31,-7.57,-2.16,-3.83,0.023,0,0.153,0.847,0.02,0
Mmp16,9.7,0,0.1,0,1.26,0,-1.68,-3.74,0.061,0,0.099,0.901,0.055,0
Hn1,24.6,0.1,0,0,-1.1,-1.1,-2.08,-3.7,0.024,0,0.146,0.854,0.021,0
Atg3,127.1,4.3,0.3,0.1,-3.45,-5.12,-2.07,-3.76,0.02,0,0.133,0.867,0.017,0
Hykk,121.2,4.4,0.1,0.1,-5.21,-5.15,-2.13,-3.71,0.023,0,0.157,0.843,0.019,0
2700094K13Rik,2.1,11.5,0,0,-7.86,-7.86,-2.25,-3.85,0.02,0,0.162,0.838,0.017,0
Msh4,15.5,0.1,0,0,-1.88,-1.88,-2.11,-3.72,0.023,0,0.152,0.848,0.02,0
Mitf,62.1,38.1,0,0,-9.58,-9.58,-2.23,-3.88,0.019,0,0.151,0.849,0.016,0
Klhl15,38.7,0.1,0.1,0,0.16,-1.1,-1.82,-3.71,0.041,0,0.112,0.888,0.036,0
Armcx2,88.5,0.3,0,0,-2.67,-2.67,-2.15,-3.74,0.019,0,0.16,0.84,0.016,0
1110017D15Rik,64.3,0,0.1,0,1.92,0,-1.66,-3.72,0.057,0,0.089,0.911,0.052,0
Raf1,46.4,1,0.1,0,-3.17,-4.43,-2.07,-3.84,0.025,0,0.128,0.872,0.022,0
Tmcc3,27.8,26.6,0,0,-9.06,-9.06,-2.18,-3.86,0.022,0,0.148,0.852,0.019,0
Reg3g,20.5,1666.6,0,0,-15.02,-15.02,-2.22,-3.89,0.02,0,0.156,0.844,0.017,0
Ccni,418.7,23,1.5,1.4,-3.92,-3.96,-2.09,-3.63,0.02,0,0.154,0.846,0.017,0
Arpc2,190,108.1,0.1,0.2,-9.15,-8.62,-2.22,-3.86,0.018,0,0.151,0.849,0.015,0
Gabrb3,156.4,671.5,0,0.3,-13.71,-10.9,-2.25,-3.87,0.019,0,0.149,0.851,0.016,0
Slc9a2,18.3,0,0.1,0,1.26,0,-1.75,-3.74,0.047,0,0.089,0.911,0.043,0
1190002N15Rik,255.1,172.4,0.2,0.8,-9.38,-7.75,-2.22,-3.8,0.021,0,0.169,0.831,0.017,0
Prkx,16.5,0.7,0.1,0,-2.62,-3.88,-2.03,-3.82,0.024,0,0.128,0.872,0.021,0
Atp8b5,78.2,0.2,0.2,0.1,0.1,-0.95,-1.85,-3.55,0.032,0,0.113,0.887,0.029,0
Pcdh20,5.1,5.7,0,0,-6.85,-6.85,-2.21,-3.85,0.018,0,0.151,0.849,0.015,0
Pde3b,62.9,69.1,0.1,0.1,-9.17,-9.11,-2.23,-3.83,0.021,0,0.151,0.849,0.018,0
Npat,70.5,0,0.1,0,1.92,0,-1.64,-3.71,0.067,0,0.094,0.906,0.06,0
Zdhhc3,175.2,97.7,0.8,0.6,-6.9,-7.23,-2.17,-3.78,0.017,0,0.151,0.849,0.015,0
Setmar,17.6,0.1,0.1,0,0.04,-1.88,-1.7,-3.79,0.051,0,0.086,0.914,0.047,0
Cftr,87.2,0.1,0,0,-1.8,-1.8,-2.14,-3.75,0.018,0,0.151,0.849,0.016,0
Ccdc30,153.5,0.1,0.3,0.1,1.49,0.09,-1.75,-3.56,0.036,0,0.103,0.897,0.032,0
Arrdc3,170,53.2,0,0.1,-10.06,-8.73,-2.2,-3.85,0.018,0,0.153,0.847,0.015,0
Med27,17.5,0,0.1,0,1.26,0,-1.73,-3.76,0.05,0,0.099,0.901,0.045,0
Nsun5,6.2,6.2,0,0,-6.97,-6.97,-2.21,-3.84,0.02,0,0.151,0.849,0.017,0
Oxa1l,51.2,0.4,0.2,0,-0.79,-3.17,-1.85,-3.81,0.029,0,0.096,0.904,0.026,0
Vapa,155.2,0.2,0.1,0,-0.41,-2.33,-1.83,-3.78,0.033,0,0.096,0.904,0.03,0
Tprkb,38.4,2.3,0.2,0,-3.16,-5.54,-1.98,-3.82,0.025,0,0.122,0.878,0.022,0
Pcsk7,41.3,0.1,0.1,0,0.03,-1.23,-1.85,-3.75,0.029,0,0.109,0.891,0.026,0
Atad2b,97.6,1.7,0.3,0.2,-2.15,-3.15,-1.98,-3.6,0.026,0,0.134,0.866,0.023,0
Gemin6,82.8,0,0.1,0,1.92,0,-1.67,-3.74,0.056,0,0.086,0.914,0.051,0
Arpc3,49.8,4.8,0.1,0,-5.34,-6.6,-2.16,-3.83,0.019,0,0.15,0.85,0.017,0
Zfp956,32.9,17.7,0.1,0,-7.21,-8.47,-2.22,-3.86,0.02,0,0.157,0.843,0.016,0
Txndc8,8.4,3.4,0,0,-6.1,-6.1,-2.22,-3.84,0.021,0,0.16,0.84,0.017,0
Etohi1,102,17,0,0,-8.41,-8.41,-2.23,-3.9,0.021,0,0.149,0.851,0.018,0
Arl5b,11.6,2.4,0.1,0,-4.33,-5.59,-2.09,-3.81,0.019,0,0.142,0.858,0.016,0
Tmem254c,213.2,0.3,0,0,-2.97,-2.97,-2.15,-3.76,0.024,0,0.156,0.844,0.02,0
Wdr18,14.6,0,0.1,0,1.26,0,-1.71,-3.72,0.054,0,0.091,0.909,0.049,0
Unc5d,25.9,0,0.1,0,1.92,0,-1.6,-3.75,0.068,0,0.085,0.915,0.062,0
Alg8,92.2,0.1,0.1,0,0.03,-1.23,-1.83,-3.76,0.04,0,0.105,0.895,0.036,0
4930564C03Rik,129.6,100.4,0.1,0.4,-9.71,-7.88,-2.2,-3.8,0.018,0,0.146,0.854,0.015,0
Acr,4.5,0.6,0,0,-3.76,-3.76,-2.16,-3.76,0.015,0,0.147,0.853,0.013,0
Drosha,105.4,6.2,0.2,0.1,-4.6,-5.65,-2.12,-3.77,0.02,0,0.142,0.858,0.017,0
2900011O08Rik,62.3,37.8,0.2,0,-7.19,-9.56,-2.21,-3.88,0.017,0,0.153,0.847,0.015,0
Shcbp1l,132.9,170.6,0.1,0.5,-10.47,-8.21,-2.24,-3.81,0.02,0,0.159,0.841,0.017,0
Tsc22d2,85.9,0.1,0.1,0,-0.54,-1.8,-1.9,-3.74,0.029,0,0.116,0.884,0.025,0
Lig3,157.2,0.1,0.2,0,1.28,-1.1,-1.69,-3.79,0.053,0,0.086,0.914,0.048,0
Actb,49.8,23.1,0.1,0.1,-7.6,-7.53,-2.2,-3.8,0.017,0,0.156,0.844,0.015,0
Wwc2,9.8,3.7,0,0,-6.23,-6.23,-2.2,-3.86,0.017,0,0.146,0.854,0.015,0
Cyp4a14,141.2,1.4,0.1,0,-2.97,-4.9,-1.99,-3.8,0.025,0,0.114,0.886,0.022,0
Mdh1,135.6,11.3,0.2,0.1,-5.45,-6.51,-2.16,-3.76,0.019,0,0.158,0.842,0.016,0
Kbtbd2,28.5,16.4,5.2,0,-1.65,-8.36,-1.79,-3.87,0.033,0,0.081,0.919,0.03,0
Lsm11,39.2,10.7,0,0,-7.75,-7.75,-2.22,-3.89,0.017,0,0.154,0.846,0.015,0
Tmem237,64.9,0,0.1,0,1.26,0,-1.78,-3.72,0.042,0,0.101,0.899,0.037,0
Cct8,281.6,11.7,0,0.3,-7.88,-5.07,-2.25,-3.69,0.018,0,0.181,0.819,0.014,0
Dgcr8,131.4,0.3,0.2,0.1,-0.5,-1.55,-1.87,-3.57,0.029,0,0.116,0.884,0.026,0
Vps13b,177,19.1,0.2,0.2,-6.2,-6.12,-2.18,-3.76,0.015,0,0.151,0.849,0.013,0
Cmc1,29.7,2.9,0,0,-5.89,-5.89,-2.21,-3.81,0.016,0,0.156,0.844,0.013,0
Trp53bp2,46.9,0.1,0.1,0,0.03,-1.23,-1.86,-3.71,0.033,0,0.112,0.888,0.029,0
Cpsf2,114,8.3,0.1,0.2,-5.46,-5.38,-2.16,-3.73,0.016,0,0.154,0.846,0.013,0
Smarcc1,5.8,0,0.1,0,1.92,0,-1.54,-3.72,0.079,0,0.087,0.913,0.072,0
Ccdc34,39.7,48.7,0.1,0,-8.01,-9.93,-2.2,-3.86,0.023,0,0.157,0.843,0.02,0
Herc2,161.9,58,0.7,0.1,-6.28,-8.86,-2.14,-3.85,0.02,0,0.144,0.856,0.017,0
Cst9,37.2,0,0.1,0,1.92,0,-1.62,-3.75,0.066,0,0.093,0.907,0.06,0
Clpx,219.2,2.6,0.7,0.1,-1.81,-4.39,-1.89,-3.74,0.025,0,0.109,0.891,0.022,0
Cpt1a,274.5,123.4,0.7,0.6,-7.37,-7.57,-2.17,-3.79,0.023,0,0.159,0.841,0.019,0
Gsg2,176.8,0.1,0.2,0,1.28,-1.1,-1.66,-3.77,0.048,0,0.083,0.917,0.044,0
Tekt1,42.6,0.1,0,0,-1.72,-1.72,-2.13,-3.71,0.018,0,0.154,0.846,0.016,0
Dhfr,121.2,22.3,0.2,0,-6.43,-8.81,-2.16,-3.84,0.018,0,0.142,0.858,0.016,0
Txnip,360.3,6.2,0.8,0.5,-2.81,-3.64,-2.05,-3.63,0.022,0,0.142,0.858,0.019,0
Ado,113.4,39.8,0,0,-9.64,-9.64,-2.22,-3.9,0.019,0,0.146,0.854,0.017,0
Vtcn1,37.1,2.6,0.1,0,-3.82,-5.74,-2.08,-3.83,0.02,0,0.139,0.861,0.017,0
Gstt4,98.8,0.1,0.1,0,0.03,-1.23,-1.85,-3.76,0.036,0,0.106,0.894,0.032,0
Fam76a,176.5,338.8,0.5,0.7,-9.3,-8.87,-2.26,-3.86,0.019,0,0.161,0.839,0.016,0
Cfap221,74.2,0.2,0.1,0,-1.22,-2.48,-1.97,-3.79,0.025,0,0.107,0.893,0.023,0
Tmem260,14.1,0,0.1,0,1.26,0,-1.66,-3.71,0.062,0,0.092,0.908,0.056,0
Nova1,59.9,0.4,0.1,0,-1.82,-3.08,-1.96,-3.77,0.03,0,0.116,0.884,0.026,0
4931429L15Rik,20.8,0.2,0,0,-2.27,-2.27,-2.15,-3.75,0.019,0,0.157,0.843,0.016,0
Paxbp1,64.3,0.1,0.1,0,0.69,-1.23,-1.74,-3.74,0.041,0,0.095,0.905,0.037,0
Mdp1,12.3,325.5,0,0,-12.67,-12.67,-2.22,-3.89,0.019,0,0.151,0.849,0.016,0
Catsper4,2.1,0.1,0.1,0,0.03,-1.23,-1.77,-3.74,0.042,0,0.097,0.903,0.038,0
Utp6,30.1,0.1,0,0,-1.23,-1.23,-2.1,-3.76,0.021,0,0.138,0.862,0.018,0
Nphp1,178.7,2.1,0.6,0.3,-1.85,-2.65,-1.98,-3.54,0.022,0,0.14,0.86,0.019,0
Ube2h,142.1,190.3,0.2,0,-9.52,-11.89,-2.24,-3.88,0.02,0,0.156,0.844,0.017,0
G3bp1,33.1,119.5,0.1,0,-9.96,-11.22,-2.23,-3.89,0.018,0,0.152,0.848,0.015,0
Mrpl28,8.7,0,0.1,0,1.92,0,-1.58,-3.74,0.08,0,0.088,0.912,0.073,0
Rasgef1b,10.2,0,0.1,0,1.92,0,-1.55,-3.76,0.07,0,0.077,0.923,0.065,0
