prey,Base_diUb4,Vec_diUb4,di4spUb,Enr_diUb4,sEnr_diUb4,p_Bind_diUb4
Atp5j,54.7,57.8,0,-10.18,-7.73,0.004
Eno3,10.2,8.5,0,-7.43,-7.38,0.004
Tmem87b,51.6,11.8,0,-7.89,-7.37,0.004
Snai2,22.6,971.2,0.1,-13.21,-7.71,0.004
Brix1,57.2,391.6,0.1,-11.89,-7.6,0.004
Prickle1,79.8,4.2,0,-6.4,-7.27,0.004
Pkn2,137,203.3,0.1,-10.95,-7.45,0.004
Vldlr,309.8,226,0.1,-11.1,-7.42,0.004
Desi1,228.2,40.9,0,-9.68,-7.64,0.004
Agap1,47.2,19.6,0,-8.62,-7.52,0.004
Commd8,147.2,6,0.1,-5.87,-6.24,0.004
Tom1,11.3,10.5,0,-7.72,-7.43,0.004
Ppp3r1,421.1,4.4,0.1,-5.44,-6.14,0.004
Fmr1,199.6,3.4,0.1,-5.08,-6.02,0.004
Esyt2,199.1,60.3,0.3,-7.59,-6.28,0.004
Commd6,133.5,11.7,0.1,-6.83,-6.42,0.004
Atrx,342.5,26.3,0.3,-6.39,-5.94,0.004
Slc25a16,92.9,34.6,0,-9.44,-7.66,0.004
Larp4,45.1,86.9,0,-10.76,-7.73,0.004
Smad4,95.8,175.4,0,-11.78,-7.8,0.004
Ing3,15.2,45.1,0,-9.82,-7.7,0.004
Zyg11b,106.4,28.9,0,-9.18,-7.51,0.004
Insig2,160.1,3.7,0,-6.25,-7.3,0.004
1700052N19Rik,153.3,30.2,0.1,-8.2,-6.83,0.004
Sbno1,283.4,315.6,0.1,-11.58,-7.58,0.004
Myom1,18.3,2.3,0,-5.55,-7.1,0.004
Gprasp1,217.5,5.4,0,-6.78,-7.29,0.004
Limd1,121.1,4,0.1,-5.3,-5.98,0.004
Cplx2,24.9,11,0,-7.79,-7.4,0.004
C330006A16Rik,145.1,4.7,0.1,-5.52,-6.09,0.004
Pdcd1,0.7,36.8,0,-9.53,-7.49,0.004
Pde4d,91.4,21,0,-8.72,-7.49,0.004
Hao2,426.6,5.4,0.1,-5.73,-6.21,0.004
C1s1,183.8,417.5,0.2,-10.97,-7.26,0.004
Itgb1,237.1,1066,0.1,-13.34,-7.74,0.004
Stat4,146.6,1.3,0,-4.76,-7.08,0.004
Zc2hc1a,162.6,11.3,0,-7.83,-7.38,0.004
Proser2,19.6,10.6,0,-7.73,-7.38,0.004
Ifi203,76.6,17,0,-8.41,-7.47,0.004
Pcdh9,85.2,10,0,-7.65,-7.37,0.004
Fut9,211.5,7.2,0,-7.19,-7.31,0.004
Atp6v1d,245.5,3.2,0.1,-4.97,-6.02,0.004
Emp2,209.3,1.2,0,-4.67,-7.07,0.004
Proser1,39.5,22.6,0,-8.82,-7.51,0.004
Ppp3r2,221,8.4,0,-7.4,-7.37,0.004
Ppp1r14c,71.2,14.3,0,-8.16,-7.44,0.004
Zfp612,112.3,8.2,0.1,-6.32,-6.36,0.004
Frzb,99.4,15.5,0,-8.28,-7.54,0.004
2610034B18Rik,15.5,36.4,0,-9.51,-7.6,0.004
Zfand4,118.4,8.3,0.1,-6.34,-6.29,0.004
Adam4,43.4,7.6,0,-7.25,-7.34,0.004
Prkd1,31.6,24.7,0,-8.95,-7.65,0.004
Prps2,30.3,21.9,0,-8.77,-7.53,0.004
Dennd2d,64.4,3.6,0,-6.19,-7.28,0.004
D1Ertd622e,116.9,254.1,0.1,-11.27,-7.48,0.004
Rnmt,186.7,58.8,0.1,-9.16,-7.09,0.004
Fxr1,329.9,4.1,0.1,-5.34,-6.12,0.004
Ifitm3,39.1,4.8,0,-6.6,-7.27,0.004
Fgf1,131,143.9,0,-11.49,-7.79,0.004
4930505A04Rik,156.2,25.4,0,-8.99,-7.55,0.004
Zfp503,11.1,18.2,0,-8.51,-7.46,0.004
Shprh,60.6,8.3,0.1,-6.35,-6.37,0.004
Hibadh,478.4,22.6,0.3,-6.17,-5.97,0.004
Bscl2,29.9,13.5,0,-8.08,-7.55,0.004
Tra2b,252.2,24.7,0,-8.95,-7.59,0.004
Dgcr2,68.9,4.1,0,-6.38,-7.25,0.004
Ss18l1,24.9,17.3,0,-8.44,-7.54,0.004
Hnrnph2,269.2,229.6,0.1,-11.12,-7.45,0.004
Hc,68,49.9,0,-9.96,-7.73,0.004
Phtf2,52.8,217.1,0.1,-11.04,-7.38,0.004
4933402J07Rik,128.1,2.3,0,-5.56,-7.21,0.004
Nckap1l,74.8,10.3,0,-7.7,-7.47,0.004
Vps37a,133.2,20.1,0.3,-6,-5.77,0.004
Ikzf1,67.7,20.3,0,-8.67,-7.5,0.004
Fgfr1op,190.6,2,0,-5.37,-7.14,0.004
42620,234.9,21.3,0,-8.74,-7.55,0.004
Isoc1,195.4,5,0.1,-5.61,-6.16,0.004
Itm2a,74.1,0.4,0,-3.17,-6.92,0.004
Mlx,77.2,8.9,0,-7.49,-7.44,0.004
Parp2,27.5,31.6,0,-9.31,-7.7,0.004
Arrdc3,156.3,53.2,0,-10.06,-7.73,0.004
Acot11,49.4,14.1,0,-8.15,-7.47,0.004
Sun3,188.8,7.7,0.1,-6.24,-6.33,0.004
Ralgapa1,168,43.5,0.2,-7.71,-6.48,0.004
Fam71e2,13.3,55.9,0,-10.13,-7.72,0.004
Cenpn,205.1,9,0.1,-6.46,-6.36,0.004
Slc4a5,20.3,5.8,0,-6.88,-7.31,0.004
Cat,136.2,11.5,0,-7.85,-7.4,0.004
Necap1,259.6,422.2,0.1,-12,-7.55,0.004
Jrkl,31.5,12.7,0,-8,-7.41,0.004
Crebrf,320.5,19.9,0,-8.64,-7.54,0.004
Osbp,135.7,4.3,0,-6.43,-7.21,0.004
Tfb1m,46.7,40.8,0,-9.67,-7.59,0.004
Cd36,300.7,21.7,0,-8.76,-7.63,0.004
Synpo2,331.9,294.6,0.1,-11.48,-7.44,0.004
Ube2j1,31.6,29.2,0,-9.19,-7.55,0.004
Unc13b,65.5,6.5,0,-7.03,-7.28,0.004
Tlk1,183.6,3.9,0.1,-5.26,-6.05,0.004
Tmod3,175.2,2.4,0,-5.61,-7.19,0.004
Ets2,161.9,6.9,0.1,-6.07,-6.25,0.004
Gla,29.7,11.3,0,-7.82,-7.36,0.004
Paics,510.8,1061.3,0.1,-13.33,-7.63,0.004
Smc4,359.3,11.6,0,-7.86,-7.49,0.004
Rwdd2a,167.8,5.6,0.1,-5.77,-6.17,0.004
Rc3h2,199.1,1284.6,0.2,-12.59,-7.62,0.004
Stat1,75.2,7.3,0.1,-6.16,-6.29,0.004
Gabrb3,174.5,671.5,0.1,-12.67,-7.66,0.004
Ophn1,38.9,13.7,0,-8.1,-7.45,0.004
Arhgap35,108.9,4.3,0.1,-5.42,-6.04,0.004
Ddah1,239.8,13.3,0.1,-7.02,-6.54,0.004
Ankra2,64.1,494.1,0.1,-12.23,-7.68,0.004
Ifnar1,32.1,22.5,0,-8.81,-7.47,0.004
Adamts20,4.8,5.9,0,-6.91,-7.44,0.004
Fosl2,118.5,34.6,0,-9.44,-7.6,0.004
Gars,146.2,2.1,0.1,-4.37,-5.91,0.004
Eps8,84.7,24.3,0,-8.93,-7.52,0.004
Glrb,81.8,17.8,0.1,-7.44,-6.64,0.004
Pdpk1,149.9,2.3,0,-5.58,-7.18,0.004
Adcy4,9.6,8.6,0,-7.44,-7.34,0.003
Fam227b,164.6,15.4,0,-8.27,-7.51,0.003
Tpk1,115,13.7,0,-8.1,-7.46,0.003
Osbpl8,31.1,9.4,0,-7.56,-7.32,0.003
Cep295,76.2,4.6,0,-6.53,-7.29,0.003
Ube3a,226.1,3.6,0,-6.18,-7.29,0.003
Uhrf1bp1l,208.1,3002.4,0.2,-13.49,-7.72,0.003
Abhd5,151.4,8.8,0.1,-6.43,-6.35,0.003
N4bp2l2,91.2,448.3,0.1,-12.09,-7.53,0.003
1700028K03Rik,34.4,1.6,0,-5.05,-7.1,0.003
Zmym6,60.7,4.1,0.1,-5.32,-6.12,0.003
Cdh1,159.8,2.8,0,-5.83,-7.26,0.003
Pou5f2,21.3,18.7,0,-8.55,-7.51,0.003
Sec11c,29.1,39.1,0,-9.61,-7.62,0.003
Tmigd1,321.5,34.9,0.1,-8.41,-6.94,0.003
Wdr7,64,34.9,0.1,-8.41,-6.82,0.003
Slco1a1,86.8,9,0.1,-6.46,-6.36,0.003
Snx16,48.7,35.8,0,-9.49,-7.51,0.003
Syt13,89.4,4.6,0.1,-5.51,-6.14,0.003
Efnb2,61.1,69.9,0,-10.45,-7.81,0.003
Cmpk1,163.3,2343.1,36.8,-5.99,-5.53,0.003
Ap1m2,44.8,5.5,0,-6.79,-7.3,0.003
Prep,7.8,6.6,0,-7.05,-7.42,0.003
Tstd3,16.5,48.5,0,-9.92,-7.76,0.003
Mterf4,124.3,36,0,-9.49,-7.71,0.003
Api5,385.1,363.4,0.1,-11.79,-7.56,0.003
Adam39,82.8,35.3,0,-9.46,-7.68,0.003
Eea1,66,25.4,0.1,-7.95,-6.64,0.003
Sat1,446.1,59.7,0.1,-9.18,-7.03,0.003
Flna,127.7,101.2,0.1,-9.94,-7.19,0.003
Arhgap15,120.2,66,0,-10.37,-7.72,0.003
Pgk2,414.9,9,0.2,-5.44,-5.66,0.003
Npm1,536.4,16.7,0,-8.39,-7.61,0.003
Spag6,189.4,6.9,0,-7.12,-7.33,0.003
Sertad4,52.4,18.9,0,-8.57,-7.53,0.003
Frs2,41,76,0,-10.57,-7.64,0.003
Phlpp1,28.8,122.2,2.2,-5.75,-5.52,0.003
Plscr2,395.2,3.6,0.1,-5.14,-6.12,0.003
Gnb4,58,27.6,0.1,-8.07,-6.71,0.003
Hbs1l,163.4,7.4,0.1,-6.18,-6.3,0.003
Abca16,73.8,10.9,0,-7.77,-7.41,0.003
Tmem138,76.1,4.5,0,-6.49,-7.18,0.003
Dido1,83.7,9.8,0.1,-6.58,-6.43,0.003
Rpn2,237.3,162,0.1,-10.62,-7.33,0.003
Slc35b4,121,99.1,0,-10.95,-7.74,0.003
Timm9,20.6,25.5,0,-9,-7.53,0.003
42431,21.5,15.9,0,-8.32,-7.42,0.003
Calu,201.4,48.1,0,-9.91,-7.75,0.003
Allc,311.9,1092.1,0.1,-13.37,-7.8,0.003
Nt5e,139.1,628.9,0.1,-12.58,-7.65,0.003
Ap4e1,2.2,2.2,0,-5.46,-7.06,0.003
Cdk4,23,15.3,0,-8.26,-7.43,0.003
Ahctf1,85.5,6.3,0.1,-5.96,-6.12,0.003
Syn1,45.7,3.1,0,-5.97,-7.19,0.003
Purb,538.4,803.7,0.2,-11.91,-7.4,0.003
Dennd4a,43.3,5,0,-6.67,-7.38,0.003
Mrpl30,80.2,211.4,0.1,-11.01,-7.37,0.003
Rmi1,90.1,7.2,0,-7.18,-7.34,0.003
Dpp8,151.8,7.5,0,-7.24,-7.3,0.003
Zfp874b,15.6,21.7,0,-8.77,-7.62,0.003
Lpp,468.5,7.3,0,-7.21,-7.45,0.003
Agbl2,42.3,2.3,0,-5.52,-7.2,0.003
Coq10a,31.8,2.2,0,-5.5,-7.16,0.003
Chic2,11,6.7,0,-7.09,-7.28,0.003
Fbxo9,152.1,47.2,0,-9.88,-7.58,0.003
Flt4,1.5,44.8,0,-9.81,-7.5,0.003
Arl8b,361.2,114.6,0.2,-9.1,-6.82,0.003
Slc41a2,20,161.2,0.1,-10.62,-7.25,0.003
Camk2n1,125.6,7.4,0.1,-6.18,-6.29,0.003
Sema3c,233.5,219.6,0.1,-11.06,-7.46,0.003
Prpf38a,204.5,6.3,0.1,-5.94,-6.24,0.003
Ptpn2,110.4,823.1,6.6,-6.96,-5.94,0.003
Ap3d1,181.2,3.3,0,-6.08,-7.28,0.003
Fam120b,78.7,41.4,0,-9.7,-7.7,0.003
Tm9sf4,54.6,16.8,0,-8.39,-7.5,0.003
Arcn1,299.7,17.1,0.3,-5.77,-5.79,0.003
Mad2l2,25.9,15,0,-8.23,-7.47,0.003
Dact1,18.9,8.9,0,-7.49,-7.3,0.003
Arhgap29,97.3,9.8,0.1,-6.59,-6.38,0.003
Ntm,105.1,42.9,0,-9.75,-7.71,0.003
Hadh,48.9,9.5,0,-7.57,-7.33,0.003
Vcam1,401.5,788,0.1,-12.9,-7.69,0.003
Clk4,315.3,68.8,0.1,-9.39,-7.02,0.003
Smurf2,62.3,6.7,0,-7.09,-7.35,0.003
Tmem170b,83.9,5.1,0.1,-5.65,-6.08,0.003
4921511H03Rik,251.7,311.8,0.1,-11.57,-7.49,0.003
Arpc3,43.1,4.8,0,-6.6,-7.24,0.003
Slc12a2,329.2,6.9,0.1,-6.08,-6.25,0.003
Med14,142.5,16.3,0,-8.36,-7.47,0.003
Pgm2l1,259.2,5.5,0.1,-5.74,-6.19,0.003
Snx24,56.2,2.8,0,-5.84,-7.23,0.003
Fbln5,185.6,715.3,0.1,-12.76,-7.75,0.003
Pdgfc,93.7,15.2,0,-8.25,-7.43,0.003
Tcea1,61,62,0,-10.28,-7.78,0.003
B3gat2,137.9,3.3,0,-6.08,-7.2,0.003
Ppt1,245.1,9.6,0.1,-6.55,-6.38,0.003
Ddx10,82.5,372.2,0.1,-11.82,-7.49,0.003
Susd5,17.5,20.8,0,-8.7,-7.46,0.003
Tmx4,217.9,4.9,0.1,-5.59,-6.13,0.003
Clmn,114,6.8,0,-7.1,-7.45,0.003
Appl2,202.2,1346.7,0.1,-13.68,-7.89,0.003
1600014C10Rik,25.3,9.4,0,-7.56,-7.33,0.003
Zcchc11,11.7,1.8,0,-5.23,-7.07,0.003
Dcaf13,127.4,1.4,0,-4.84,-7.13,0.003
Acox3,118.9,14.8,0.1,-7.17,-6.48,0.003
Btbd1,308.4,103.8,0,-11.02,-7.79,0.003
Ddx3x,429,1158.5,0.3,-11.85,-7.42,0.003
Dnajb11,140,1332.8,0.2,-12.64,-7.56,0.003
Brwd1,177.3,77.5,0.1,-9.56,-7.01,0.003
Ncor1,230.6,12.1,0.1,-6.89,-6.52,0.003
Btbd10,230,5.8,0.1,-5.84,-6.29,0.003
Klrk1,16.3,9.9,0,-7.63,-7.49,0.003
Lin7c,338.5,10.2,0.1,-6.65,-6.49,0.003
Dkk2,53.1,3.4,0,-6.12,-7.28,0.003
Sp3,105,2.8,0.1,-4.79,-5.95,0.003
Cpsf2,111.1,8.3,0.1,-6.34,-6.36,0.003
Rbm27,91.1,24.8,0.3,-6.3,-5.89,0.003
Kctd12,139.9,7.9,0.1,-6.27,-6.31,0.003
Pphln1,246.7,14.2,0.1,-7.12,-6.64,0.003
Actr3,355.7,92.1,0.6,-7.07,-6.05,0.003
Ran,218.4,13.2,0,-8.05,-7.46,0.003
Mthfd2,25.6,144.5,0.1,-10.46,-7.33,0.003
Efemp1,115,284.5,0.1,-11.43,-7.46,0.003
Ubl3,55.1,59.1,0,-10.21,-7.69,0.003
Cacna1d,59.6,6.7,0,-7.07,-7.31,0.003
Pcdh20,3.9,5.7,0,-6.85,-7.28,0.003
Polk,26.3,4.4,0,-6.49,-7.3,0.003
Itih3,7.1,16.5,0,-8.37,-7.52,0.003
Man1a2,318.9,115.5,0.1,-10.13,-7.23,0.003
Tex30,329.2,12,0,-7.91,-7.54,0.003
Tubgcp5,60.7,9.3,0.1,-6.5,-6.42,0.003
Srpk2,310.4,623.1,0.1,-12.56,-7.7,0.003
Ptdss1,148.7,2.1,0.1,-4.38,-5.86,0.003
Fam228a,41.9,66.2,0,-10.37,-7.73,0.003
R3hdm2,3,11.4,0,-7.84,-7.36,0.003
Fbxl14,9.4,74.9,0,-10.55,-7.64,0.003
Nacc2,83,1.2,0,-4.66,-6.96,0.003
Clk1,371,53,0.1,-9.01,-7,0.003
Mtmr3,140.8,4.5,0,-6.5,-7.37,0.003
Ppm1d,121.4,6.6,0.1,-6.01,-6.24,0.003
Ccni,458.1,23,0.3,-6.2,-5.91,0.003
Exosc9,105.7,27.4,0,-9.1,-7.56,0.003
Rnf149,272.7,3.6,0,-6.17,-7.21,0.003
Id4,28.4,57.1,0,-10.16,-7.63,0.003
Zfp148,239.9,9.8,0,-7.62,-7.49,0.003
Sntg1,48.5,3,0,-5.94,-7.15,0.003
Rasa1,253.4,3.2,0.1,-4.98,-6.05,0.003
Atrnl1,200.1,42.4,0.1,-8.69,-6.9,0.003
Psma4,983.7,71.1,0.1,-9.43,-7.15,0.003
Fam214a,102.9,29,0.2,-7.12,-6.16,0.003
Rmdn2,140.2,2.3,0.1,-4.51,-5.87,0.003
Spred1,156.4,3.8,0,-6.28,-7.18,0.003
Atf2,75.6,47,0,-9.88,-7.67,0.003
Basp1,36.6,6.3,0,-7,-7.31,0.003
Mecr,32.1,2.4,0,-5.61,-7.05,0.003
Cyfip1,233.7,279.7,0.1,-11.41,-7.51,0.003
Nxph1,28.5,37.6,0,-9.56,-7.65,0.003
Ppcs,18.3,22.1,0,-8.79,-7.42,0.003
Slc1a5,18.7,35.4,0,-9.47,-7.59,0.003
Zeb1,99.8,50,0,-9.97,-7.65,0.003
Aox3,75.8,15.6,0.1,-7.25,-6.54,0.003
Ros1,7.3,26.6,0,-9.06,-7.46,0.003
Diras2,64.8,10.8,0.1,-6.72,-6.43,0.003
Cln6,33.7,19.8,0,-8.63,-7.56,0.003
R3hdm1,160.1,19,0,-8.57,-7.55,0.003
Ube2d2a,311.4,6.6,0.1,-6.01,-6.35,0.003
Ccdc185,2.4,112.4,0,-11.14,-7.83,0.003
Iqcb1,5.3,15.8,0,-8.31,-7.46,0.003
Stard5,43.2,7.4,0,-7.22,-7.36,0.003
Xrn2,140.7,9,0.2,-5.44,-5.69,0.003
Arfgef1,258.8,95,0.1,-9.85,-7.23,0.003
Mier3,155.4,5.9,0,-6.9,-7.34,0.003
Kat8,71.1,7.3,0.1,-6.16,-6.3,0.003
Casd1,150.9,56,0,-10.13,-7.78,0.003
Ypel5,185.7,9.5,0,-7.58,-7.5,0.003
Lcp1,136.6,4.5,0.1,-5.45,-6.08,0.003
Akr1b3,157.7,795.9,0.1,-12.92,-7.65,0.003
Gclm,211,65.3,0,-10.35,-7.75,0.003
Rnf44,14.8,20.3,0,-8.67,-7.49,0.003
Cp,194.3,378.1,0,-12.88,-7.92,0.003
Sesn1,188.6,22.2,0,-8.8,-7.47,0.003
Pdzd9,139.9,12.9,0,-8.01,-7.39,0.003
Dicer1,46.4,15.7,0.1,-7.26,-6.59,0.003
Twistnb,34.3,18.1,0,-8.51,-7.58,0.003
Cct2,357.4,6.4,0,-7,-7.39,0.003
Rnf152,100.6,4.8,0.1,-5.56,-6.14,0.003
Pcnp,321,459.8,0.1,-12.13,-7.49,0.003
Med17,54.9,12.1,0,-7.92,-7.39,0.003
Klhdc10,109.3,4158.6,0.2,-14.28,-7.79,0.003
Gdi2,350.9,3884.8,0.1,-15.21,-7.86,0.003
Lypd8,27.6,57,0,-10.16,-7.6,0.003
Ak3,349.7,92.7,0,-10.86,-7.81,0.003
Tjp2,21.1,3.5,0,-6.15,-7.16,0.003
Parvg,6.1,22.6,0,-8.82,-7.56,0.003
Pgm5,48.5,49.6,0,-9.96,-7.64,0.003
Kcnj1,41.9,7.6,0.1,-6.22,-6.25,0.003
Slc1a1,211.7,61.6,0.1,-9.23,-6.95,0.003
Spo11,20.8,472.7,0.1,-12.17,-7.6,0.003
Capns1,50.5,18.6,0,-8.55,-7.52,0.003
Map4k3,96.5,3.4,0.1,-5.08,-5.92,0.003
Fip1l1,4.8,517.6,0.3,-10.69,-7.32,0.003
Gyk,319.9,17.3,0,-8.44,-7.48,0.003
Fbxo45,77.2,8.2,0,-7.36,-7.41,0.003
Wdr5,41.3,7.9,0,-7.31,-7.37,0.003
Mospd2,124.9,196.1,0.1,-10.9,-7.44,0.003
Pik3ca,218.8,11.4,0,-7.84,-7.43,0.003
Tiam2,18.5,9.8,0,-7.62,-7.3,0.003
Arxes2,63.2,36,0,-9.49,-7.58,0.003
Cyb5b,450,17.1,0,-8.42,-7.6,0.003
Gbp2,157.7,16,0.1,-7.29,-6.53,0.003
Cryz,239.8,142.5,0.1,-10.44,-7.27,0.003
Zfp110,119.7,5.2,0.1,-5.66,-6.06,0.003
Xdh,35.9,586,0.1,-12.48,-7.62,0.003
Pik3r1,60.7,11,0,-7.79,-7.47,0.003
Ahcyl2,354.1,65.5,0.5,-6.82,-6.01,0.003
Xlr4b,39.2,158.1,0.3,-8.75,-6.7,0.003
Ube2b,330.4,24.2,0,-8.92,-7.52,0.003
H2-Ke6,4,13.7,0,-8.1,-7.44,0.003
Zfp868,173.9,2038.6,0.3,-12.66,-7.56,0.003
Ap2a2,74.6,866.6,0.1,-13.04,-7.74,0.003
Tspan3,276.3,12.6,0.2,-5.92,-5.88,0.003
Fam220a,84.4,6.8,0,-7.1,-7.34,0.003
Tardbp,619.5,6.7,0.1,-6.04,-6.35,0.003
Siglecf,2.1,78.7,0,-10.62,-7.83,0.003
Itgav,208.4,2.6,0,-5.74,-7.17,0.003
Ago3,6.3,6.8,0,-7.1,-7.38,0.003
Golph3,290.3,244.1,0.1,-11.21,-7.42,0.003
Lrig2,40.4,61.7,0,-10.27,-7.62,0.003
C2cd5,22.3,2.4,0,-5.59,-7.08,0.003
Commd5,4.5,15.8,0,-8.31,-7.61,0.003
Sulf2,13.6,35.7,0,-9.48,-7.56,0.003
Slain2,164.9,7.7,0,-7.28,-7.37,0.003
Serpinb9,128.6,142.2,0.1,-10.43,-7.36,0.003
Pros1,121.5,84.4,0,-10.72,-7.81,0.003
Strap,385.2,12.4,0,-7.96,-7.55,0.003
Syt4,186.3,30.6,0.1,-8.22,-6.86,0.003
Ube2n,197.1,2898.8,0.2,-13.44,-7.7,0.003
Usp1,296.5,119,0.1,-10.18,-7.21,0.003
Cpeb1,91.6,2.2,0,-5.47,-7.11,0.003
Prr15l,16,4.7,0,-6.57,-7.18,0.003
Mkrn1,152.6,30.5,0.2,-7.19,-6.23,0.003
Tarsl2,43.8,5.5,0.1,-5.75,-6.16,0.003
Sh3bgrl,509.3,49.4,0.1,-8.91,-7.03,0.003
Calb1,323.9,20.3,0.3,-6.02,-5.93,0.003
Ppp2r2a,343.1,249.3,0.1,-11.24,-7.46,0.003
Rspry1,119.1,22,0.1,-7.75,-6.67,0.003
Slco3a1,96.5,9.2,0,-7.54,-7.39,0.003
Nipal2,54.8,3.8,0,-6.26,-7.26,0.003
Clcn4-2,320.3,8.3,0.1,-6.35,-6.34,0.003
Hnrnpa0,135.7,61.9,0,-10.28,-7.66,0.003
Usp14,327,2.4,0,-5.59,-7.13,0.003
Agtpbp1,182.8,15,0.1,-7.19,-6.56,0.003
Zbed4,65,7.7,0.1,-6.24,-6.25,0.003
Rps6ka6,32.9,15.7,0,-8.3,-7.56,0.003
Phospho2,319.2,44.9,0,-9.81,-7.6,0.003
Ube2a,67.9,60.8,0.1,-9.21,-7.13,0.003
Smpdl3a,252.3,44.4,0,-9.8,-7.63,0.003
Lrrn1,20.1,68,0,-10.41,-7.7,0.003
Srsf6,329.7,24,0.2,-6.85,-6.22,0.003
Clcn3,279.9,3.6,0.1,-5.16,-6.13,0.003
Gm21693,39.9,209.5,0.1,-10.99,-7.3,0.003
Cbfb,222.9,29.8,0.1,-8.18,-6.7,0.003
Leng1,4.3,8.9,0,-7.48,-7.44,0.003
Flnb,44.6,74.1,0,-10.53,-7.81,0.003
Det1,3.5,13.5,0,-8.09,-7.45,0.003
Jade1,200.5,80.2,0.1,-9.61,-7.02,0.003
Pccb,53.4,126.2,0.1,-10.26,-7.22,0.003
Yod1,62.2,31.4,0,-9.3,-7.56,0.003
Rpe,87.3,170.5,0.1,-10.7,-7.34,0.003
Mapk6,105,13.4,0.1,-7.03,-6.37,0.003
Ap1g1,290.1,133.5,0.1,-10.34,-7.27,0.003
Ufd1l,265.1,30.2,0.1,-8.2,-6.73,0.003
Hoxa4,6.3,15.4,0,-8.27,-7.38,0.003
Polb,102.5,7.9,0,-7.31,-7.44,0.003
Fcf1,33.9,12.2,0.1,-6.89,-6.53,0.003
Rnf144a,79.9,25.3,0,-8.99,-7.62,0.003
Meaf6,44.8,1.8,0,-5.21,-6.99,0.003
Rnf13,342.6,45.2,0,-9.82,-7.83,0.003
Rnf145,77.7,9.6,0,-7.59,-7.47,0.003
Aifm2,34.3,61,0,-10.25,-7.8,0.003
Rapgef6,139.4,28.8,0,-9.17,-7.65,0.003
Eml5,238,148.3,0.1,-10.49,-7.26,0.003
Ilf2,118.9,112.4,0.1,-10.09,-7.26,0.003
Pum2,275.4,459.7,0.1,-12.13,-7.56,0.003
Tspan8,283,563.2,0.1,-12.42,-7.63,0.003
Cd2ap,234.5,39.1,0,-9.61,-7.56,0.003
Ogt,449,21.8,0.1,-7.73,-6.7,0.003
Ccdc85a,82.9,11,0,-7.78,-7.48,0.003
Sord,54.8,139.1,0.1,-10.4,-7.31,0.003
Coa5,80.5,31.7,0,-9.31,-7.66,0.003
Elp5,366.7,5.6,0.1,-5.78,-6.28,0.003
Vprbp,22.6,9.7,0.1,-6.57,-6.39,0.003
Gbp6,309.5,89,0.1,-9.76,-7.23,0.003
Fyb,38.1,8.7,0,-7.45,-7.46,0.003
Pbrm1,238.5,162.6,0.1,-10.63,-7.37,0.003
Luc7l3,226.7,84.7,0,-10.73,-7.77,0.003
Gde1,198.7,699.3,0.1,-12.73,-7.7,0.003
Zfp597,133.1,25.4,0.1,-7.95,-6.79,0.003
Gabarapl1,203.8,170.8,0.1,-10.7,-7.41,0.003
Usp37,129.5,26.2,0.2,-6.98,-6.27,0.003
Zbbx,156.6,99.7,0,-10.96,-7.77,0.003
Spag17,161.1,944.8,0.3,-11.33,-7.32,0.003
Rpa1,191.7,4290.3,1,-11.99,-7.46,0.003
Dgkb,47.4,7.2,0,-7.18,-7.35,0.003
Zfyve27,38.6,3.9,0,-6.3,-7.22,0.003
Marcks,362.9,290.8,0.1,-11.47,-7.5,0.003
Adam22,129.5,131.2,0.1,-10.32,-7.35,0.003
Gucy1a3,114.8,7.5,0,-7.24,-7.24,0.003
Smim13,281.3,8.1,0.1,-6.31,-6.39,0.003
Bcl11b,49.9,118,0.1,-10.16,-7.29,0.003
Dennd4c,116.7,7.6,0.1,-6.22,-6.37,0.003
Sh2d5,4.1,21,0,-8.72,-7.48,0.003
Aldh8a1,124,6.6,0,-7.06,-7.34,0.003
Ace2,58.7,7.2,0,-7.18,-7.27,0.003
Plcb1,125.1,25.9,0,-9.02,-7.65,0.003
Ammecr1l,282,144.4,0.1,-10.46,-7.29,0.003
Prkar2a,139.3,5.8,0.1,-5.83,-6.16,0.003
Dtna,49.8,63.8,0,-10.32,-7.77,0.003
Ccdc71l,71.8,11.1,0.1,-6.76,-6.38,0.003
Gatad2a,35.6,43.3,0,-9.76,-7.55,0.003
Snx5,251.2,695.6,0.1,-12.72,-7.66,0.003
Emp1,281.5,5.4,0.1,-5.74,-6.37,0.003
Slbp,182.9,19.9,0.1,-7.6,-6.67,0.003
Ralgds,11.7,41.7,0,-9.71,-7.65,0.003
Mfap3l,254.1,137,0.1,-10.38,-7.33,0.003
Tmed4,145.2,117.5,0.1,-10.16,-7.21,0.003
Scaf4,12.8,436.2,7.8,-5.8,-5.91,0.003
Cnot6l,172.8,149.9,0.1,-10.51,-7.31,0.003
Leprotl1,113.7,39.4,0,-9.62,-7.7,0.003
Dnajc10,184.4,9.3,0.1,-6.51,-6.43,0.003
Cd247,43.9,2.6,0,-5.72,-7.23,0.003
Amn1,457.4,4,0.1,-5.29,-6.15,0.003
Oxsr1,145.3,9.3,0,-7.55,-7.38,0.003
Prkaca,1.1,21.1,0,-8.72,-7.54,0.003
Spin1,396.6,102.4,0.1,-9.96,-7.25,0.003
Dsc2,42.7,25.8,0,-9.02,-7.54,0.003
Ncf2,20.6,549.6,0.1,-12.38,-7.62,0.003
